Name,EP,GP
courtnylove,6855,472
Roxxo,0,150
Tearsinrain狮子/Tearsinmist,3494,150
Purpledot,0,150
Ititii,0,150
watanabe,8704,296
flywind,0,150
Highriskx (Mosanz),10161,233
perhapss,0,150
Heynew,10146,638
luckyfive,10161,387
Omegaga,0,150
Litshaman,0,150
Nigeniu-萨满,9905,651
Urel,10161,186
Lemonadedede,0,150
LittlePanda,2045,241
Vurtnè,9338,150
HatanoYui,0,150
Beyoncé,0,150
Kuixing,0,150
Redfofo,0,150
Qingtas 战士,0,150
skyxd,0,150
NN,0,150
Caidenns,0,150
凉西瓜,0,150
BigMQ,0,150
WeskerJD,9171,150
Standpower,0,150
Istoun - Mage,0,150
Honkeykiller,0,150
hearteyes,0,150
Kokodayo,7857,291
Abenjada,0,150
Jjerky,0,150
Depravedpain,0,150
Erma,0,150
Jimmymage,0,150
Theelder,0,150
Sonate,0,150
Narcissux,0,150
Gonky,0,150
Norinco,10161,277
Amaekoromo,9240,210
uruoujun-润润,0,150
tim yu,0,150
orangeboy,0,150
vvinter,0,150
Aiyoltw,0,150
Zeble,0,150
Nvwarriors,0,150
Thundersound,0,150
Foigotten☆☆,0,150
Qiarolina,0,150
Twoballs,0,150
hokkaimeow,0,150
Archenteron,3039,364
Dolphinz,636,173
Twinklemilk,0,150
solomend,0,150
Taozi🍑,0,150
Zhazhahui,0,150
Haannkk Warlock,0,150
Toolmann,6091,412
Romanticdz-盗贼,0,150
Ocasa,0,150
Deathlight,0,150
Canadagoose,0,150
SunnyNeo,0,150
widowfuxxer,0,150
Nichousha,0,150
Quelaagg,0,150
jackbb,0,150
Beeflover,0,150
Mchotduck,0,150
Leonharts,0,150
Elmelloi,10161,557
Ceecceeb,0,150
Cuipi-亡灵盗贼,0,150
Salat,0,150
Vaguemana,0,150
Pipidroo,10161,477
Shàman,0,150
AlwxysprloL,0,150
Furyd,0,150
Kurogewagyu,8568,831
scotpii,0,150
Alersia,0,150
MinatoAqua,0,150
Vincent,0,150
ihavenolife,0,150
Viw_麦田里,0,150
Cowbulous_牛头德,9000,333
Neverhealing,0,150
Fromchina,0,150
Echord盗贼,0,150
Ulaa,0,150
Blinblin,0,150
Metemlj-轮回,4176,150
beicandetimi,0,150
爆爆Lucistalker,0,150
Skyxd,0,150
ZombieKnife,0,150
dkey,0,150
Windcloud,0,150
Pumpkinspicé,0,150
elbyewoo,0,150
longines,0,150
Yaphetsfiend-术士,0,150
daiqll,0,150
eggeggz,0,150
Mixmix,0,150
Bbeef,0,150
Jumppluff,9177,290
Biedawo,0,150
Kobemamba-盗贼,0,150
ZS_lonelytea,0,150
chaospower,0,150
Rainy,0,150
broicer,0,150
Kudou,0,150
Bitmybone,0,150
Drakdog,9363,232
大炮豪,0,150
Liqi 亡灵战士,0,150
Shervon,0,150
PusureDai 扑朔,8526,482
Machinelearn,0,150
MeatHunter,0,150
GangXiaoNing,0,150
beria,0,150
Drunkchef---rogue,10161,380
IvankaTrumpp,10042,263
Muse,0,150
Domomon,0,150
Wecheat 法师,0,150
lucianw,0,150
EvanONE,0,150
Smitedd,0,150
Enidlaogong,0,150
pydeal--SS,0,150
saitamaa,0,150
Chopchop,0,150
uguysrkeng,0,150
Loveash,0,150
ding,5511,150
Lalalalisa,0,150
Fallser,0,150
Gcp - DZ/D,0,150
beefhotpot,2603,150
Babylonia,0,150
Iceboxs,6666,210
Guldane,0,150
Riverwind,0,150
Neverchoose,0,150
Yagao-Herod,0,150
Hitop,0,150
Hzg,0,150
NVWarrior,0,150
Darkborne,0,150
sangelaile猎人,0,150
Monkeykingg,0,150
Lan James,8658,441
epimetheus,0,150
Megawatts,3535,150
Confucious,0,150
Ssl,0,150
November,0,150
Beewhy,0,150
Caspper-warlock,0,150
Tinyhoof,0,150
Badbeat,0,150
盒盒,0,150
Xyy,0,150
Liiet,0,150
Sumologic,0,150
wulichen,0,150
Kriswu,0,150
Yelingxue,0,150
Murrior,0,150
miustus,0,150
Katououo,0,150
Rollaway-Rogue,4068,200
Nataly MS Brian8068-1537,0,150
Itchyspider,10084,364
Tiansoli,10161,348
Ireplaceable,601,150
Miraclebull,0,150
AliceLiu,10161,179
littlerio,0,150
Hooyou,0,150
ZS-neiyo,0,150
Stounes - Mage,0,150
Ballsbeater,0,150
ruilink,0,150
Primechop,0,150
Kidsbear,7942,275
Amai,10161,237
Nemsey,0,150
zaezacet,0,150
Pipinee,10161,422
Vermouth,10107,400
tonylol,0,150
Icebluesky,9870,208
Issis,0,150
caer/ghosthunter,0,150
Panzura--Mage,0,150
Necromanncer,10120,227
!waterfk,0,150
Feiz,0,150
Hakumatata,0,150
Dagebiepao--ZS,0,150
Ironsky,0,150
DiDiZhan,0,150
Wayfieng,2546,151
BigLiuMang,0,150
wulavivi,0,150
kooties,0,150
watchmen,0,150
jokerblack,0,150
Emelt,0,150
moonj,0,150
Patserbounce,0,150
Yokey,0,150
Zebrazes,0,150
MarcLegend,6945,293
Ly9,0,150
Idlen,0,150
Stoneheart,0,150
Lawt,0,150
Blackcurse,0,150
BIdaixie,0,150
薛定谔的兔子,0,150
cheeseman,0,150
Udhashashin,0,150
Qialifornia,10161,453
Fspp,0,150
LyleLyle,9023,174
holynirvana,0,150
Drpoision,0,150
mazhenn,0,150
Northwind,0,150
Roshan,0,150
Dankcalgar - 法师,0,150
Ricky-Sixsixsix,0,150
The micky MAO,0,150
Usoopp,0,150
Porkguy戰坦,0,150
waaghrior,0,150
Leeeeeeoy,0,150
Chubbyhoof,10114,387
LilArgot,0,150
icymilk,0,150
Nekgned,9443,320
HONOKAA,0,150
MmmarS,0,150
junmo-猎人,0,150
Bubblemeow,9666,290
yipe,0,150
Adada,0,150
Hellapeno,0,150
iamyiyi,0,150
Cenalaolv,0,150
shadowyhero,0,150
Bisusc/Apmzero,0,150
Ballsbeater/Archprincess,0,150
Lovelywinnie,0,150
Diehuilaile,0,150
dashanxf,0,150
Memorial,0,150
yoyo,0,150
Silverfs琳,0,150
babybear,0,150
Sophon,0,150
MS—Sukam,0,150
dieselol,0,150
Nineninene,0,150
Dorange,0,150
Aola,0,150
Shushi,0,150
HolyWallet,9177,330
DanielWu（术士）,0,150
Umeii,0,150
Baowen,9924,307
Zeroseven,0,150
edyson,0,150
Waternj,0,150
Swordguard,0,150
Gandamo,10132,162
waiwai,0,150
Washcutblow,0,150
dieselol,0,150
Mottoe,0,150
Amao,0,150
Disel,0,150
leomessi,0,150
Mangfu,0,150
Maruji - douyu/7493058,0,150
Ruuaa,0,150
Lusixsix,0,150
postlife,0,150
自闭,0,150
Seed/Seardna,3387,150
pokemons,0,150
Bigredboom,0,150
Sylei女兽猎,0,150
Yanquanquan,0,150
Yuxuan 法师,0,150
Aiolos,0,150
盗贼-Oia,0,150
Dtopd,9903,196
Squiirtle,0,150
Destinyjoker,9801,293
sugmadic,0,150
Straypigeon,0,150
pattonzhang  矮人 猎人,0,150
Quelthelan,9652,197
Tastea,6963,441
Holyfan mage,0,150
timi,0,150
Shuaishuaide,0,150
geejaa,0,150
Missyu,0,150
Annie,0,150
Nxnmn,0,150
战士 killingbill-蘑菇,0,150
Akilios,0,150
Brainhole,0,150
watanabe,0,150
gokugml,0,150
Lazymilk,0,150
DBJ,0,150
Maodaa,0,150
sisilol,0,150
crazypanda,0,150
defensesoul,2570,252
Qialifivenia,365,324
gegewu,0,150
Rodasu,0,150
Loveyang,0,150
Leouns,0,150
atankqwe,0,150
Edoo,0,252
小白牛,0,150
